,id,product_uid,search_term,relevance,relevance_int,bm25
0,2,100001,angl bracket,3.0,12,0.0
1,3,100001,l bracket,2.5,9,0.0
2,9,100002,deck over,3.0,12,0.0
3,16,100005,rain shower head,2.33,8,0.0
4,17,100005,shower onli faucet,2.67,10,0.004174453934397355
5,18,100006,convect otr,3.0,12,0.0
6,20,100006,microwav over stove,2.67,10,0.004181462857314118
7,21,100006,microwav,3.0,12,0.0
8,23,100007,emerg light,2.67,10,0.0
9,27,100009,mdf 3/4,3.0,12,0.0
10,34,100010,steel stake,2.67,10,0.0
11,35,100011,brigg and stratton lawn mower,3.0,12,0.0
12,37,100011,gas mow,3.0,12,0.0
13,38,100011,honda mower,2.0,6,0.0
14,48,100012,hampton bay chestnut pull up shade,2.67,10,0.021737958241466633
15,51,100013,dispos,2.67,10,0.0
16,65,100016,grill gazebo,3.0,12,0.0
17,69,100017,door guard,1.0,0,0.005403478843531992
18,75,100017,metal plate cover gcfi,1.67,4,0.0
19,81,100017,radiat grate,2.33,8,0.0
20,85,100017,window screen,2.33,8,0.00627005490659158
21,88,100019,1x1 rail decor wood,1.33,2,0.0
22,90,100019,4*8 beadboard panel,2.67,10,0.0
23,92,100019,4x8wood panel,2.33,8,0.0
24,101,100019,mdf 4x8,1.33,2,0.0
25,105,100019,wainscot chair rail,2.33,8,0.0
26,106,100019,wainscot plank panel,2.33,8,0.0
27,113,100021,lawn sprkinler,2.0,6,0.0
28,114,100021,rainbird sprinkler,2.33,8,0.0
29,117,100022,platform for washer,2.67,10,0.0
30,120,100022,samsung front load washer 3.7,2.0,6,0.0
31,122,100022,upholsteri wash machin with steam,2.33,8,0.0
32,123,100023,concret & masonri cleaner & etcher,3.0,12,0.0
33,125,100023,concret for pond,2.0,6,0.0
34,127,100023,flexlock for crack,2.0,6,0.0
35,136,100026,belgium block paver,2.0,6,0.0
36,138,100026,ourdoor patio tile,2.33,8,0.0
37,143,100027,insul roll,2.33,8,0.0067466426853556
38,147,100028,6ft h bamboo fenc,2.0,6,0.0
39,149,100028,balconi privaci screen,2.67,10,0.0
40,150,100028,bamboo,1.67,4,0.0
41,157,100028,privaci lattic panel,2.33,8,0.0
42,158,100028,privaci panel,1.67,4,0.0
43,162,100029,chalk paint,3.0,12,0.0048291022723762215
44,164,100030,8 4616809045 9,1.67,4,0.0
45,165,100030,shelf bracket,3.0,12,0.0
46,166,100030,white 4shelv,1.67,4,0.0
47,172,100033,6 teir shelv,3.0,12,0.0
48,177,100033,hdx wire shelv,3.0,12,0.0
49,178,100033,kitchen cabinet finish,1.0,0,0.0
50,179,100033,kitchen wire shelf tier,3.0,12,0.0
51,181,100033,pantri rack,2.67,10,0.0
52,182,100033,plastic storag rack,2.67,10,0.0
53,186,100033,shelv metal,3.0,12,0.0
54,191,100033,steel shelv,2.67,10,0.0
55,193,100033,storag shelv,3.0,12,0.0
56,195,100034,mortar tool,1.0,0,0.0
57,201,100036,12 boltless bracket,2.33,8,0.0
58,202,100036,12 in. 16 in singl track bracket,2.33,8,0.0
59,203,100036,12 wire shelf bracket,3.0,12,0.0
60,205,100036,shelf track,2.33,8,0.0
61,210,100037,huski tool bag,2.5,9,0.0
62,214,100038,impact driver drill batteri power,2.33,8,0.011449846686141504
63,215,100038,impact wrench,3.0,12,0.0
64,223,100039,pellet stove,2.33,8,0.0
65,226,100039,regist for fuel,2.33,8,0.0
66,227,100039,stove and mi,2.33,8,0.0
67,233,100039,ventless gas stove,3.0,12,0.0
68,241,100042,american standard bone round toliet,3.0,12,0.020996994925485835
69,245,100042,cadet 3 insul in bone,2.33,8,0.010535208758874771
70,255,100045,grayson,2.33,8,0.0
71,257,100046,6 stell,2.0,6,0.0
72,259,100046,fece post metal,2.0,6,0.0
73,261,100046,green paint pop rivet,2.33,8,0.0
74,266,100046,post,2.67,10,0.0
75,270,100046,wire fenc 6 ft high,1.67,4,0.0
76,272,100047,bolt 1/2 in by 12,3.0,12,0.011896861235673684
77,275,100047,metal sheet,2.33,8,0.0
78,276,100047,sheet metal,3.0,12,0.0
79,284,100049,elastomer roof coat,2.0,6,0.01212590010886313
80,290,100050,outdoor dine,2.67,10,0.0
81,293,100051,cushion outdoorloung,3.0,12,0.0
82,294,100051,hampton bay spring,3.0,12,0.007389249051855683
83,297,100051,outdoorfurnitur,2.33,8,0.0
84,305,100053,wiremesh,3.0,12,0.0
85,314,100054,front door,3.0,12,0.005497877677697573
86,318,100054,prehung steel door,3.0,12,0.00848289877914484
87,319,100054,stanley door,2.67,10,0.0
88,323,100055,kingsley moen kitchen faucet,2.33,8,0.01602364770613899
89,327,100055,kitchen sink faucet,3.0,12,0.005593317046093163
90,331,100055,pricepfist kitchen faucet g135,2.0,6,0.005593317046093163
91,334,100055,soap dispens,2.67,10,0.005775936527007757
92,335,100055,soap dispens kitchen,2.0,6,0.01136925357310092
93,340,100056,roof melter,1.33,2,0.0
94,341,100057,6 kraft face insul,2.33,8,0.004611747480147432
95,343,100057,fiberglass insul,2.33,8,0.0
96,346,100057,owen corn 7-3,2.0,6,0.0
97,347,100057,r 15,1.33,2,0.0
98,350,100057,r19 insul,3.0,12,0.0
99,351,100058,batteri lantern,3.0,12,0.009581274293196836
100,354,100058,ceil light batteri power with remot,2.33,8,0.0018036950385900523
101,355,100058,emerg light,3.0,12,0.0
102,359,100059,planter pot,2.67,10,0.008030844232565374
103,361,100060,5x5 post,2.33,8,0.0
104,363,100060,column post,3.0,12,0.010158398841418297
105,365,100060,post,2.33,8,0.0
106,373,100063,bazz light,2.0,6,0.0139438961579298
107,374,100063,led rope,2.67,10,0.0
108,375,100063,led strip light,2.67,10,0.0
109,385,100064,tile 12*12,2.67,10,0.0
110,389,100065,10 rough toilet bowl,2.33,8,0.007523404809735705
111,397,100065,delta canist 17,1.33,2,0.0
112,400,100065,glaciar bay toil,2.0,6,0.0
113,401,100065,glaci bay dual flush,2.33,8,0.0
114,402,100065,glacier bay high effici toilet fill valv,2.0,6,0.008125134846501476
115,403,100065,glacier bay tiolet tank lid,2.67,10,0.0
116,407,100065,handicap toilet,2.67,10,0.0
117,408,100065,handycap toilet,2.33,8,0.0
118,411,100065,high boy tolet,2.33,8,0.003253717306999445
119,413,100065,kohler rosario toilet part,1.33,2,0.0
120,418,100065,toilet bowl,2.33,8,0.007523404809735705
121,421,100065,toilet flush kit,2.67,10,0.0
122,422,100065,toilet glacier bay,3.0,12,0.0
123,440,100068,60 heater gallon gas water,2.33,8,0.0
124,444,100068,gas wayer heater,2.0,6,0.0
125,445,100068,heater gas,1.67,4,0.0
126,446,100068,hot water heater cost,2.67,10,0.005808874386488051
127,447,100068,hot water heater gas,3.0,12,0.0
128,452,100068,rheem gas water heater prog40,2.67,10,0.0
129,454,100068,rheem water heater gas,3.0,12,0.0
130,455,100068,rheem water heater plug,2.33,8,0.0
131,456,100068,rheum water heater,3.0,12,0.0
132,458,100068,water heater certifi,3.0,12,0.0
133,459,100068,water heater pan,1.67,4,0.0
134,461,100069,shark vacuum,3.0,12,0.0
135,468,100070,under cabinet led,3.0,12,0.0
136,469,100070,under cabinet light,3.0,12,0.0
137,470,100070,under counter fluoresc bar light,2.33,8,0.02287600288637007
138,473,100070,undercount light,3.0,12,0.0
139,475,100071,door exterior,2.33,8,0.0
140,476,100071,doubl door,3.0,12,0.005522842124703379
141,478,100071,prehung steel door,3.0,12,0.00848289877914484
142,479,100071,steel patio rail,1.33,2,0.0
143,480,100072,3 blue mask tape,1.67,4,0.018002679559073587
144,481,100072,mask tape,3.0,12,0.011264828650841538
145,485,100074,4x6,3.0,12,0.0
146,491,100076,treat fenc post,3.0,12,0.014888142795015548
147,492,100077,1/2 x 5 black pipe nippl,1.67,4,0.007148780285093093
148,497,100077,galvan gas tee,3.0,12,0.0
149,500,100078,area rug 9x12,2.67,10,0.0
150,501,100079,18 dishwash,1.67,4,0.0
151,508,100081,30 x 60 mold one piec acryl shower stall,2.33,8,0.02334262693892871
152,511,100081,one piec shower,2.33,8,0.011856095287572343
153,516,100082,baker rack,3.0,12,0.013329026644425895
154,517,100083,basemetnt window,1.33,2,0.0
155,524,100086,edit garag floor,2.0,6,0.0
156,533,100086,rustollum epoxi,3.0,12,0.0
157,536,100087,car ramp end,2.0,6,0.0
158,542,100088,plexigla 18 x 24,2.0,6,0.014669423152062724
159,544,100089,melnor,3.0,12,0.0
160,549,100090,a/c window unit,3.0,12,0.0
161,551,100090,air /heatercondition window,3.0,12,0.0
162,557,100090,room a/c unit,2.67,10,0.0
163,559,100090,spliter ac unit,2.33,8,0.0
164,562,100090,window air condit,2.33,8,0.0
165,563,100090,window unit air conditioner/heat,2.67,10,0.0
166,568,100092,berh deck over,2.33,8,0.0
167,571,100092,deck over,1.67,4,0.0
168,572,100092,deck over paint,2.67,10,0.0048291022723762215
169,573,100092,deckpaint,2.67,10,0.0
170,576,100092,restor 4x,2.67,10,0.0
171,581,100093,milwauke right angl,3.0,12,0.0
172,582,100093,milwauke stone hole drill,3.0,12,0.0
173,583,100093,pneumat right angl drill,2.67,10,0.0
174,584,100093,right angl drill,3.0,12,0.0
175,585,100094,28 snow thower,3.0,12,0.0
176,591,100094,gas snowblow trailer,2.33,8,0.0
177,593,100094,toro snow blower gas,1.33,2,0.0
178,595,100095,gas gridle,2.0,6,0.0
179,600,100095,ge adora rang,3.0,12,0.0
180,605,100096,base board mold boundl,2.0,6,0.0
181,606,100096,crown mold mdf,2.67,10,0.0
182,611,100096,wall wood,2.67,10,0.0043423079697916395
183,619,100097,hampton bay set 7-piec led aluminum,2.33,8,0.0
184,626,100098,plant mose in a cradl,1.33,2,0.0
185,630,100100,landscap edg,3.0,12,0.0
186,634,100101,intertap duct tape 3pk,1.67,4,0.013870709579903044
187,635,100101,mask tape,3.0,12,0.0
188,636,100102,1 black self tap screw,2.67,10,0.008257755100365142
189,637,100102,1 infloor flang,2.0,6,0.007683474874727589
190,640,100104,10 window sping rod,1.67,4,0.00627005490659158
191,642,100104,clear silicon caulk window door,2.33,8,0.017009169136989043
192,643,100104,silicon,3.0,12,0.0
193,644,100105,combo powertool kit,2.67,10,0.0
194,646,100105,desalt impact 18,2.67,10,0.0
195,652,100105,rigid lithium ion batteri fuego drill,2.33,8,0.017040051423818564
196,653,100106,chipper,1.25,1,0.0
197,659,100108,bidet,2.33,8,0.0
198,660,100109,shark cleaner,3.0,12,0.021949435219289277
199,661,100109,shark vacuum,3.0,12,0.014275275615058536
200,662,100110,expand it univers product,2.33,8,0.0
201,663,100110,pole saw,2.67,10,0.0
202,666,100110,ryobi pole saw,2.67,10,0.0
203,668,100110,ryobi trimmer,2.67,10,0.0
204,669,100110,trimmer attach,2.0,6,0.0
205,670,100111,fiberglass repair kit,3.0,12,0.0
206,671,100111,fiberglass repir kit,1.67,4,0.0
207,674,100112,rug doctor carpet cleaner,2.0,6,0.0
208,677,100113,under cabinet light,2.67,10,0.006378823333805071
209,679,100114,pine straw,3.0,12,0.0
210,680,100115,andersen slide right hand door with blind,3.0,12,0.0
211,682,100115,door exterior,2.0,6,0.0
212,686,100116,10000 btu portabl ac,3.0,12,0.0
213,687,100116,portabl air condtion,3.0,12,0.0
214,688,100117,comput desk,2.0,6,0.0
215,690,100118,tree pruner,2.67,10,0.0
216,691,100119,2 paint brush pack,2.67,10,0.0
217,696,100119,paint roller insert,1.0,0,0.0
218,700,100120,hand sander,3.0,12,0.0
219,712,100124,invert generat,3.0,12,0.0
220,713,100125,delta faucet handl,3.0,12,0.004482534575435902
221,715,100125,kitchen faucet delta,2.33,8,0.0
222,718,100125,kitchen sink faucet,3.0,12,0.0
223,722,100125,pricepfist kitchen faucet g135,2.33,8,0.0
224,726,100126,hot water dispens,2.67,10,0.0
225,731,100127,plastic tube,2.33,8,0.0
226,734,100128,garag chair organ,1.0,0,0.0
227,737,100128,slatwal,3.0,12,0.0
228,739,100128,wall board,2.67,10,0.007551891849778266
229,740,100128,wall pannel,2.67,10,0.0
230,742,100129,face mask,1.0,0,0.0
231,743,100129,respir,3.0,12,0.0
232,745,100130,ant killer,3.0,12,0.0
233,748,100131,5 gal bucket,1.67,4,0.004621922921986054
234,749,100131,5gal bucket,1.67,4,0.0
235,751,100131,colleg homer bucket,2.0,6,0.0
236,753,100131,paint pail,1.67,4,0.0
237,756,100132,lamp,3.0,12,0.0
238,758,100133,2*3 stud,2.33,8,0.0
239,759,100133,2x4 srud,3.0,12,0.0
240,760,100133,lumber 2x4,3.0,12,0.009982423999737226
241,763,100134,frostk window shrink film,2.67,10,0.0
242,764,100134,plastic cover,1.0,0,0.0
243,765,100134,plastic film,1.67,4,0.0
244,771,100134,window remov weather strip,2.33,8,0.0
245,773,100134,wrap around plastic light cover,1.33,2,0.0
246,778,100135,water trap moistur filter,2.0,6,0.0
247,784,100138,4 light bulb,3.0,12,0.0
248,787,100138,floresc light bulb,3.0,12,0.0
249,790,100138,fluoresc fixtur,1.67,4,0.0
250,791,100138,fluoresc light ballet,1.67,4,0.0
251,800,100138,t8 light,3.0,12,0.0
252,801,100138,violet flouresc light,1.67,4,0.0
253,811,100140,lawn mower- elect,2.33,8,0.007745351844005827
254,812,100140,lawnmow,3.0,12,0.0
255,817,100141,closetmad,2.0,6,0.0
256,818,100141,closetmaid,2.67,10,0.0
257,819,100141,closetmaid pantri,1.67,4,0.0
258,824,100141,storag cabinet,3.0,12,0.0
259,826,100141,white cabinet,3.0,12,0.0038980981276392616
260,828,100143,24 stainless gas rang,2.33,8,0.0
261,831,100143,frigidair gas rang,3.0,12,0.0
262,832,100143,gas rang,3.0,12,0.0
263,837,100143,stainless steel gas stove,3.0,12,0.0
264,843,100144,fiberglass repair kit,2.75,11,0.0
265,844,100144,fiberglass repir kit,2.0,6,0.0
266,847,100145,4*8 beadboard panel,2.0,6,0.0
267,852,100146,6x6 p sand tile,2.0,6,0.0071442893425412496
268,857,100146,vinyl tile peel and stick,3.0,12,0.0071442893425412496
269,862,100148,water heater blanket,3.0,12,0.0
270,867,100149,funnel 6 inch,1.0,0,0.004611747480147432
271,868,100149,greecianmarbl floor tile,1.67,4,0.0
272,869,100149,join compound wall tile,2.0,6,0.0
273,872,100149,lunada bay tile 3' x 6' wall tile,2.0,6,0.008119888864434552
274,876,100149,montagna rustic,2.0,6,0.0
275,878,100149,montagnia contina floor tile,2.33,8,0.0
276,881,100149,porcelain tile sealer,2.0,6,0.0
277,882,100149,porcelin floor tile 6x24,2.0,6,0.0
278,885,100149,tile floor,2.67,10,0.0
279,886,100149,towel ring that look like wood,1.67,4,0.003381279241859943
280,893,100150,4x4 deck post,2.33,8,0.0
281,894,100150,4x4 lumber,3.0,12,0.0
282,895,100150,4x4 lumber not treat,2.67,10,0.006682660177677567
283,898,100150,post,2.33,8,0.0
284,899,100150,pressur treat post for deck,2.0,6,0.006682660177677567
285,902,100151,closet light fixtur,3.0,12,0.0
286,908,100152,cub cadet 42,3.0,12,0.0
287,909,100152,cub cadet battery72517063,2.0,6,0.0
288,910,100152,cub cadet lawn mower,2.0,6,0.0
289,912,100152,foof leaf broom,1.0,0,0.0
290,918,100152,lawn tractor,1.0,0,0.0
291,922,100153,3 way,2.67,10,0.0
292,923,100153,3 way toggl switch,3.0,12,0.009512695171131312
293,928,100153,three wayi,2.0,6,0.0
294,929,100154,dual wall duct,1.33,2,0.0
295,934,100154,incid wall heater,2.67,10,0.0
296,940,100155,6ft h bamboo fenc,3.0,12,0.0
297,944,100157,hedg shear,3.0,12,0.0
298,954,100158,kohler retro pedest sink combo,2.67,10,0.01631492114318057
299,958,100158,pedest sink combo,3.0,12,0.008703035822538948
300,962,100158,toilet sink,3.0,12,0.0
