id,pred_relevance
5,2.25
5,2.25
6,2.75
6,2.75
10,2.5
10,2.5
15,2.33
15,2.33
24,2.5
24,2.5
26,2.25
26,2.25
28,2.5
28,2.5
30,2.33
30,2.33
33,2.33
33,2.33
39,2.5
39,2.5
44,2.33
44,2.33
47,2.25
47,2.25
50,2.5
50,2.5
54,2.33
54,2.33
55,2.75
55,2.75
58,2.33
58,2.33
60,1.67
60,1.67
63,2.5
63,2.5
64,2.67
64,2.67
66,2.67
66,2.67
70,2.25
70,2.25
72,2.33
72,2.33
73,2.0
73,2.0
76,2.33
76,2.33
78,1.75
78,1.75
79,2.25
79,2.25
80,2.0
80,2.0
82,2.5
82,2.5
87,2.5
87,2.5
89,2.33
89,2.33
93,1.5
93,1.5
94,2.25
94,2.25
96,2.25
96,2.25
97,2.25
97,2.25
98,2.25
98,2.25
102,2.25
102,2.25
107,2.67
107,2.67
109,2.5
109,2.5
110,2.33
110,2.33
112,2.25
112,2.25
118,2.67
118,2.67
126,2.25
126,2.25
128,2.0
128,2.0
129,2.5
129,2.5
130,2.33
130,2.33
131,2.33
131,2.33
133,2.75
133,2.75
134,2.33
134,2.33
135,2.33
135,2.33
139,2.67
139,2.67
142,1.75
142,1.75
145,2.67
145,2.67
154,1.75
154,1.75
155,2.25
155,2.25
159,1.75
159,1.75
168,2.5
168,2.5
169,2.25
169,2.25
174,2.33
174,2.33
176,2.25
176,2.25
187,2.67
187,2.67
194,2.5
194,2.5
196,1.75
196,1.75
197,2.0
197,2.0
198,2.5
198,2.5
199,2.5
199,2.5
208,2.5
208,2.5
209,2.33
209,2.33
211,2.5
211,2.5
224,2.33
224,2.33
230,2.67
230,2.67
235,2.67
235,2.67
236,2.33
236,2.33
238,2.67
238,2.67
240,2.33
240,2.33
242,2.75
242,2.75
246,2.33
246,2.33
247,2.33
247,2.33
251,2.5
251,2.5
252,2.5
252,2.5
253,2.25
253,2.25
256,2.33
256,2.33
258,2.0
258,2.0
260,2.25
260,2.25
264,2.25
264,2.25
268,2.33
268,2.33
269,2.25
269,2.25
271,2.5
271,2.5
277,2.33
277,2.33
278,1.67
278,1.67
279,2.67
279,2.67
281,2.67
281,2.67
285,2.67
285,2.67
287,1.75
287,1.75
288,2.5
288,2.5
289,2.5
289,2.5
291,2.33
291,2.33
296,2.33
296,2.33
299,2.33
299,2.33
300,2.5
300,2.5
302,2.67
302,2.67
304,2.25
304,2.25
306,2.33
306,2.33
307,2.5
307,2.5
311,2.33
311,2.33
315,2.33
315,2.33
316,2.33
316,2.33
321,2.5
321,2.5
322,2.33
322,2.33
324,2.67
324,2.67
328,2.5
328,2.5
329,2.5
329,2.5
330,2.5
330,2.5
332,2.67
332,2.67
336,2.5
336,2.5
337,2.5
337,2.5
338,2.67
338,2.67
339,2.25
339,2.25
342,2.67
342,2.67
344,2.33
344,2.33
348,2.5
348,2.5
356,2.67
356,2.67
358,2.5
358,2.5
364,2.67
364,2.67
366,2.5
366,2.5
367,2.5
367,2.5
368,2.25
368,2.25
370,2.67
370,2.67
371,2.67
371,2.67
372,2.33
372,2.33
378,2.67
378,2.67
380,1.75
380,1.75
383,1.75
383,1.75
386,2.25
386,2.25
388,2.5
388,2.5
395,2.33
395,2.33
396,2.33
396,2.33
406,2.33
406,2.33
409,2.5
409,2.5
410,2.33
410,2.5
412,2.67
412,2.67
414,2.5
414,2.5
415,2.0
415,2.0
419,2.25
419,2.25
420,2.5
420,2.5
423,2.33
423,2.33
424,2.5
424,2.5
426,2.67
426,2.67
428,2.67
428,2.67
429,2.25
429,2.25
430,2.0
430,2.0
431,2.67
431,2.67
432,2.67
432,2.67
435,2.5
435,2.5
436,2.67
436,2.67
437,2.67
437,2.67
438,2.67
438,2.67
439,2.67
439,2.67
441,2.33
441,2.33
442,2.75
442,2.75
448,2.33
448,2.33
449,2.33
449,2.33
450,2.33
450,2.33
451,2.5
451,2.5
457,2.67
457,2.67
460,2.67
460,2.67
464,2.33
464,2.33
467,2.0
