id,search_term,product_uid,relevance_int
5,simpson sku abl,100001,2.1400428265333176
6,simpson strong tie,100001,2.8155879825353622
10,bath shower kit,100003,2.574717566370964
15,delta ashland shower faucet,100005,2.3319936543703075
24,self tap screw,100008,2.530740588903427
26,door trim,100009,2.1970511823892593
28,anchor stake,100010,2.477229207754135
30,lawn edg,100010,2.1684703528881073
33,steel landscap edg,100010,2.229852259159088
39,honda push mower,100011,2.4996238201856613
44,toro lawn moa,100011,2.2571718841791153
47,10 roll outsid blind,100012,2.164964348077774
50,roman shade,100012,2.442972019314766
54,garbag dispos button,100013,2.514914095401764
55,insinu dispos sink switch,100013,2.7529862225055695
58,singl let switch,100013,2.2311178594827648
60,gorilla ladder model al 22,100014,2.001760423183441
63,6ft h bamboo fenc,100015,2.4587185978889465
64,bamboo fenc,100015,2.7159834057092667
66,sun joy gazebo,100016,2.7445790469646454
70,door guard,100017,2.070563599467278
72,metal,100017,2.1209984868764877
73,metal diamond grate,100017,1.9444420784711838
76,metal screen mesh,100017,2.261069536209107
78,protector plate door,100017,1.7974914759397507
79,radiat,100017,1.9858344644308092
80,radiat cover,100017,1.9622075855731966
82,sheet metal,100017,2.5528927296400066
87,water,100018,2.510582819581032
89,4 x 8 panel,100019,2.314188405871391
93,b 08 string spool,100019,1.8008640855550768
94,bead board,100019,1.9820389300584795
96,bead,100019,1.9727702289819722
97,ceil cover,100019,2.225449830293655
98,chair rail mould,100019,1.9925898611545563
102,panel bathroom,100019,2.334864184260369
107,wainscot,100019,2.5580467581748962
109,bazz light,100020,2.611193105578423
110,led light strip,100020,2.4527944326400757
112,sprinkler system,100021,2.149583265185356
118,sam sung,100022,2.7413387149572372
126,concret mortar,100023,2.4180095195770264
128,heat resist spicket,100023,1.7806290686130526
129,quikret concret mix,100023,2.557638868689537
130,sakret concret,100023,2.385553911328316
131,panel cart,100024,2.27768012881279
133,furnitur dolli,100025,2.6453254222869877
134,12 x 18 brick paver,100026,2.320328459143639
135,16x24 concret paver,100026,2.2785704880952835
139,paver stone,100026,2.7001523971557617
142,foil back insul bat,100027,1.8355994671583176
145,radiant barrier,100027,2.7542098462581635
154,door improv materi,100028,1.7514456659555437
155,door screen,100028,2.119907096028328
159,room divid screen,100028,1.8590018451213837
168,polish rock,100031,2.5857239514589314
169,river rock,100031,2.188220828771591
174,garag storag rack,100033,2.3575377762317657
176,h c concret,100033,2.0212822407484055
187,shelv unit metal wire,100033,2.6946158707141876
194,storag unit,100033,2.564282283186913
196,quikret concret mix,100034,2.0348276495933533
197,stucco repair,100034,2.0380485653877254
198,clock,100035,2.4334824085235596
199,clock,100035,2.613650470972061
208,huski belt,100037,2.4351823180913925
209,huski mesh tool belt,100037,2.233705654740333
211,1 2 impact,100038,2.589801251888275
224,propan,100039,2.1585731655359273
230,vent free gas stove,100039,2.739978089928627
235,vinyl fenc,100040,2.7098078429698944
236,led light strip,100041,2.4923985302448273
238,led cabinet,100041,2.7277058511972427
240,10 rough toilet,100042,2.504271969199181
242,american standard bone toilet,100042,2.771787792444229
246,toilet bowl,100042,2.494986712932587
247,toilet bowl wrench,100042,2.4188068956136703
251,8 clip,100044,2.577685922384262
252,lamp shade,100044,2.502737581729889
253,spray paint lamp shade,100044,2.1311288028955464
256,hardwar,100045,2.450124815106392
258,fan wire,100046,1.9319762289524078
260,fenc stake,100046,2.1477579921483994
