id,search_term,product_uid,relevance_int
4,metal l bracket,100001,2.1135715097188954
7,simpson strong tie hcc668,100001,2.4266982078552246
12,one piec tub shower,100003,2.1474456638097768
13,solar panel,100004,2.7118246406316757
14,1 handl shower delta trim kit,100005,2.7000801265239716
25,3 1 20door case,100009,2.1826871931552883
40,lawn mower,100011,2.6435052454471593
45,toro lawn mower bag,100011,2.590417966246605
46,toro mower washout,100011,2.4891165047883987
52,garbag dispos,100013,2.371947064995766
57,seal push button switch,100013,2.1149167120456696
59,sink top,100013,2.456818550825119
62,step ladder,100014,2.626813113689423
68,door guard plate,100017,2.110542416572571
77,perfor metal,100017,2.2905734330415726
84,stainless steel light cover plate,100017,1.8612214475870132
86,spray replac nozzl,100018,2.4454578906297684
91,4x8 beadboard,100019,2.183665424585342
103,pvc ceil,100019,2.2033171802759175
115,sprinkler,100021,2.1618403643369675
119,sam sung front load dryer,100022,2.7566263377666473
124,concret 80,100023,2.5969932079315186
132,solar panel,100024,2.3711443692445755
148,balconi,100028,1.6672023981809616
151,bamboo fenc,100028,2.4611675143241882
153,fenc cover,100028,2.3933530151844025
156,door window screen 35x58,100028,1.8405588418245318
170,slat wall,100032,2.7452931702136993
173,garag shelv,100033,2.43318073451519
184,shelf rack,100033,2.4868137836456303
189,stainless,100033,1.8285078555345535
190,stainless steel shelf,100033,2.51605823636055
200,wall clock,100035,2.5867099910974507
204,rubber maid singl track,100036,2.7356883883476257
212,desalt impact 18,100038,2.3114617317914963
216,ridgid 18v,100038,2.5892204195261
219,deliveri gas stove,100039,2.3207525312900543
220,fireplac propan gas,100039,2.529512792825699
222,natur gas fireplac,100039,2.4387481659650807
229,telescop stove vent,100039,2.2355756908655167
231,vent less gas heater,100039,2.508264869451523
232,vent less gas heater,100039,2.5394032895565033
244,cadet 2pc toilet elong bone,100042,2.41096194088459
248,concret mortar,100043,2.2410528808832173
249,quikret concret mix,100043,2.35805943608284
254,drawer pull 2 1 2,100045,2.289427354931832
262,hdk steel weld wire fenc,100046,2.104042947292328
280,step ladder,100048,2.526951491832733
286,roof materi,100049,2.3769495487213135
295,door chair,100051,2.501826763153076
301,spring brown weather wick,100051,2.326473146677017
303,concret wire 5'x100,100053,2.078546360135078
309,front door,100054,2.4944186508655544
313,front door glass,100054,2.5939193367958073
317,louvr door 36 inch,100054,2.0179181694984436
325,kitchen faucet soap dispens,100055,2.749202102422714
326,kitchen faucet two handl seper sprayer,100055,2.304926291108131
353,batteri power lantern,100058,2.7218958139419556
360,108 in. column,100060,2.119880750775337
377,allur vinyl floor,100064,2.743516191840172
393,28 30 inch height chair patio,100065,1.827480971813202
416,power flush,100065,2.5148351639509197
425,water,100065,1.8138499110937119
443,gas water radiat,100068,2.3054309189319606
462,shark vacuum cleaner,100069,2.7894947975873943
466,led cabinet,100070,2.621651768684387
484,tool tote,100073,2.7171511948108673
487,6x4,100076,1.8790289610624313
489,split rail fenc,100076,2.46166019141674
510,one piec shower,100081,2.330681666731834
512,one piec tub shower,100081,2.359426900744438
521,roman shade,100085,2.292800918221474
523,concret resurfac,100086,2.1328469961881638
525,epoxi,100086,2.704990655183792
527,epoxi shield,100086,2.787512794137001
543,hose nozzl,100089,2.545049384236336
556,port abl air condition window plate,100090,2.2300373315811157
558,slip unit c,100090,2.0289605557918553
560,window ac,100090,2.3495007753372192
564,window unit air condition,100090,2.7043700963258743
566,pump,100091,2.5534754246473312
580,hole hog 110 volt right angl drill,100093,2.215344831347465
594,yard blower stock,100094,1.9335353821516037
599,gas rang stainless steel,100095,2.680113956332207
604,3 4 inch x1 1 2 inch wood board,100096,1.9687228500843048
616,7 piec patio dine set,100097,2.703310579061508
617,dine set outdo,100097,2.2680754959583282
620,patio dine set,100097,2.72618080675602
641,clear silicon case quantiti,100104,2.0931599140167236
654,shredder,100106,2.5207550376653667
657,roundup,100107,2.7198466360569
699,finish sander,100120,2.6256028413772583
703,11' led flush mount,100121,2.378867670893669
709,eye bolt,100122,2.4747193455696106
723,singl,100125,2.4762711226940155
729,instant hot water faucet,100126,2.2450027763843536
730,air tube,100127,2.694691240787506
735,pvc panel,100128,2.4679717272520065
736,rock board,100128,2.154375523328781
757,2 x 4 lumber,100133,2.2349057197570805
761,3m window insul,100134,2.4180670082569122
769,window insul kit,100134,2.6615708321332927
775,lg filter system,100135,2.3017689287662506
782,larg flush toilet,100136,2.4796746820211415
794,fluoresc light bulb,100138,2.7316367477178574
799,t8 flouresc bulb,100138,2.596724078059197
815,closer maid cabinet,100141,2.328173026442528
820,kitchen pantri cabinet,100141,2.4304822385311127
829,27 inch gas stove rang,100143,2.3063110411167145
845,remov fiberglass shower,100144,2.0385273098945613
848,bead board,100145,2.4196608960628514
854,peal stick flash,100146,1.8993588685989382
859,2' fiber glass ladder,100147,2.093708366155624
871,kitchen floor tile 1000 047 646,100149,2.1579582244157787
879,plank tile,100149,2.4379691630601887
888,waddl,100149,2.124781221151352
890,wooden plank,100149,2.080479383468628
892,10x10x10 pt post,100150,2.0822397619485855
900,pressur treat post,100150,2.772213339805603
901,closet light,100151,2.378478556871414
905,42 bagger,100152,2.656720861792564
911,cub cadet special financ,100152,2.2962488681077957
913,grass catcher,100152,2.1386847943067555
914,land mower,100152,2.1651832610368733
924,levi ton switch,100153,2.7413157522678375
942,bamboo fenc,100155,2.6860527992248535
949,tree pruner,100157,2.4261447340250015
953,k9115 kohler sink,100158,2.217430368065834
965,epoxi,100159,2.5614123791456227
968,dew alt 20v,100160,2.802237629890442
980,whole hous filtrat,100161,2.812148839235306
989,cedar liner roll,100165,2.253511711955071
990,cedar lumber,100165,2.3080778568983082
993,cedar wood plank,100165,2.6753786355257034
998,wood plank,100165,2.4998080134391785
1002,liquid cement,100166,2.775981768965721
1050,window fan,100175,2.182305857539177
1058,frame nailer,100179,2.5174666345119476
1063,glass slide door,100180,2.432099506258964
1070,slide panel lock,100180,2.708723902702332
1082,japanes soak tub,100184,2.2735731154680248
1089,rubber maid singl track,100185,2.7207081019878387
1092,track shelf,100185,2.4463860541582108
1102,cupboard,100189,1.8504303693771362
1118,dowel,100192,2.59251643717289
1130,glass entri door,100193,2.351441130042076
1136,wooden door,100193,2.3895072489976883
1140,dew alt,100194,2.6728248298168182
1143,dew alt 20v lithium drill driver,100194,2.359279215335846
1144,dew alt 29v max recip saw,100194,2.1872043758630753
1157,stucco lace steel sheet,100195,1.892546460032463
1160,high point element,100196,2.405703023076058
1162,hot water heater electr,100196,2.5532916486263275
1179,chais loung,100199,2.6460584104061127
1186,power invert,100202,2.379422783851623
1187,wave,100202,2.4670393615961075
1197,stair runner,100204,2.407611146569252
1209,cabinet knob,100209,2.336033925414086
1213,hardwar,100209,2.0339086800813675
1225,1 4 pine,100212,2.5134091526269917
1233,fast block wall,100214,2.226783692836761
1244,canva drop cloth 3 ft x 6 ft,100217,2.4104999750852585
1245,canva drop cloth,100217,2.725232884287834
1255,lawn mower,100218,2.787641018629074
1261,hardwar,100219,2.3550861924886703
1263,tree stand,100220,2.712311834096908
1265,everbilt hing 3 1 2,100221,2.72377410531044
1272,8ft chair rail,100224,2.316516786813736
1274,chair rail filler,100224,2.2298168987035756
1282,mdf 4x8,100225,2.28122653067112
1286,spot,100226,1.7147209644317627
1299,brick tumbl holland,100229,2.2988131493330006
1301,paver brick scollop,100229,2.2999805212020874
1308,pump,100231,2.482543215155602
1318,hampton bay ceil fan,100232,2.7515680640935902
1324,sconc,100234,2.4493862688541412
1330,level sand,100236,1.9008400738239284
1339,r 19,100237,2.321828410029411
1350,kitchen back,100240,2.3243444561958313
1378,backer board type,100248,2.208848714828491
1380,cut hardi backer,100248,2.161390095949173
1383,hardi plank 10 75 exposur,100248,1.770501971244812
1385,hardi board,100248,2.373543530702591
1389,ceil fan light,100249,2.6441412866115566
1391,ceil fan hampton bay,100249,2.7317845225334167
1402,palmero brush nickel ceil fan,100249,2.2774118334054947
1410,cedar lumber,100251,2.5844041854143143
1413,rough cedar 2 x 6 x 10,100251,2.510173931717873
1416,safeti child,100252,2.1943386048078533
