id,pred_relevance
5,2.33
6,2.75
10,2.5
15,2.33
24,2.5
26,2.0
28,2.5
30,2.33
33,2.33
39,2.5
44,2.33
47,2.25
50,2.33
54,2.33
55,2.75
58,2.25
60,1.75
63,2.5
64,2.67
66,2.67
70,2.25
72,2.25
73,2.0
76,2.33
78,1.75
79,2.25
80,2.0
82,2.5
87,2.5
89,2.33
93,1.5
94,2.25
96,2.25
97,2.25
98,2.25
102,2.25
107,2.67
109,2.5
110,2.5
112,2.25
118,2.67
126,2.25
128,2.0
129,2.5
130,2.25
131,2.33
133,2.75
134,2.33
135,2.25
139,2.67
142,1.75
145,2.67
154,1.75
155,2.25
159,1.75
168,2.5
169,2.25
174,2.33
176,2.0
187,2.67
194,2.5
196,1.75
197,2.0
198,2.33
199,2.5
208,2.5
209,2.33
211,2.5
224,2.33
230,2.67
235,2.67
236,2.33
238,2.5
240,2.33
242,2.75
246,2.33
247,2.33
251,2.5
252,2.5
253,2.25
256,2.33
258,2.0
260,2.25
264,2.25
268,2.33
269,2.25
271,2.33
277,2.33
278,1.67
279,2.5
281,2.67
285,2.67
287,1.75
288,2.33
289,2.5
291,2.33
296,2.33
299,2.33
300,2.33
302,2.67
304,2.0
306,2.33
307,2.5
311,2.33
315,2.33
316,2.33
321,2.5
322,2.33
324,2.5
328,2.5
329,2.5
330,2.5
332,2.67
336,2.5
337,2.5
338,2.67
339,2.0
342,2.67
344,2.33
348,2.5
356,2.5
358,2.33
364,2.5
366,2.5
367,2.33
368,2.25
370,2.67
371,2.67
372,2.33
378,2.67
380,1.75
383,1.75
386,2.25
388,2.33
395,2.33
396,2.33
406,2.33
409,2.5
410,2.33
412,2.5
414,2.5
415,2.0
419,2.25
420,2.5
423,2.33
424,2.5
426,2.67
428,2.67
429,2.25
430,2.0
431,2.67
432,2.75
435,2.5
436,2.67
437,2.67
438,2.75
439,2.67
441,2.25
442,2.75
448,2.33
449,2.25
450,2.33
451,2.5
457,2.67
460,2.5
464,2.5
467,2.0
471,2.33
472,2.33
474,2.33
482,2.5
483,2.5
486,2.67
495,2.0
498,2.33
502,2.5
504,2.67
507,2.25
509,2.5
514,2.5
518,2.0
519,2.5
520,2.5
522,2.25
526,2.67
529,2.67
530,2.5
532,2.67
534,2.33
537,2.33
538,2.33
540,2.5
541,2.33
545,2.67
546,2.5
552,2.5
555,2.75
561,2.25
565,2.33
569,2.5
574,2.25
577,2.67
578,2.33
586,2.75
587,2.75
588,2.33
589,2.33
590,2.75
592,2.33
596,2.5
598,2.5
602,2.5
603,2.33
607,2.33
609,2.0
614,2.0
615,2.25
618,2.33
621,2.33
