id,pred_relevance
4,2.25
7,2.5
12,2.25
13,2.67
14,2.75
25,2.33
40,2.5
45,2.5
46,2.5
52,2.33
57,2.25
59,2.5
62,2.67
68,2.25
77,2.25
84,1.75
86,2.5
91,2.33
103,2.25
115,2.25
119,2.67
124,2.5
132,2.33
148,2.0
151,2.33
153,2.33
156,1.75
170,2.67
173,2.5
184,2.33
189,2.25
190,2.33
200,2.67
204,2.75
212,2.33
216,2.5
219,2.33
220,2.5
222,2.33
229,2.33
231,2.5
232,2.5
244,2.67
248,2.0
249,2.33
254,2.33
262,2.0
280,2.5
286,2.33
295,2.5
301,2.33
303,2.0
309,2.5
313,2.5
317,2.25
325,2.67
326,2.25
353,2.67
360,2.25
377,2.67
393,1.75
416,2.33
425,2.25
443,2.33
462,2.67
466,2.67
484,2.67
487,1.75
489,2.5
510,2.33
512,2.33
521,2.25
523,2.0
525,2.5
527,2.67
543,2.5
556,2.33
558,2.0
560,2.33
564,2.67
566,2.5
580,2.33
594,2.25
599,2.5
604,1.75
616,2.67
617,2.33
620,2.67
641,2.25
654,2.5
657,2.67
699,2.5
703,2.5
709,2.5
723,2.33
729,2.33
730,2.67
735,2.33
736,2.25
757,2.33
761,2.33
769,2.67
775,2.33
782,2.5
794,2.75
799,2.5
815,2.33
820,2.33
829,2.33
845,2.25
848,2.33
854,2.0
859,2.25
871,2.0
879,2.33
888,1.5
890,2.25
892,2.0
900,2.67
901,2.33
905,2.67
911,2.33
913,2.0
914,2.25
924,2.67
942,2.5
949,2.33
953,2.33
965,2.5
968,2.67
980,2.75
989,2.33
990,2.33
993,2.67
998,2.33
1002,2.67
1050,2.33
1058,2.25
1063,2.33
1070,2.67
1082,2.33
1089,2.67
1092,2.33
1102,2.25
1118,2.5
1130,2.25
1136,2.33
1140,2.5
1143,2.5
1144,2.0
1157,2.0
1160,2.5
1162,2.5
1179,2.67
1186,2.33
1187,2.5
1197,2.33
1209,2.33
1213,2.25
1225,2.5
1233,2.33
1244,2.5
1245,2.75
1255,2.67
1261,2.33
1263,2.67
1265,2.75
1272,2.33
1274,2.33
1282,2.25
1286,2.0
1299,2.33
1301,2.33
1308,2.5
1318,2.67
1324,2.5
1330,2.0
1339,2.5
1350,2.33
1378,2.33
1380,2.25
1383,1.75
1385,2.33
1389,2.5
1391,2.67
1402,2.5
1410,2.5
1413,2.67
1416,2.25
1421,2.5
1423,2.5
1424,2.33
1430,2.67
1459,2.33
1463,2.25
1464,2.67
1476,2.33
1478,2.5
1480,2.33
1503,2.25
1513,2.67
1529,2.33
1547,2.67
1563,2.33
1586,2.33
1589,2.5
1590,2.25
1597,2.33
1603,2.5
1604,1.75
1605,2.5
1606,2.75
1613,2.67
1614,2.0
1615,2.25
1618,1.75
1630,2.33
1632,2.5
1636,2.5
1639,1.67
1641,2.33
1642,2.0
1659,2.5
1660,2.33
1666,2.25
1668,2.33
1686,2.67
1687,2.67
1689,2.75
1695,2.67
1700,2.33
1701,2.33
1725,2.33
1761,2.33
1764,2.33
1787,2.33
1788,1.75
1789,2.67
1791,2.5
1803,2.33
1810,2.33
1812,2.5
1814,2.33
1820,2.33
1823,2.67
1825,2.67
1827,2.25
1828,2.67
1836,2.33
1843,2.25
1859,2.67
1865,2.25
1873,2.67
1874,2.67
1876,2.25
1878,2.5
1880,2.33
1882,2.5
1886,2.25
1895,2.67
1897,2.25
1900,2.33
1901,2.25
1903,2.33
1904,2.5
1906,2.5
1917,2.33
1934,2.33
1936,2.0
1942,2.33
1945,2.33
1952,2.5
1957,2.67
1968,1.75
1969,2.5
1971,2.75
1974,2.25
1975,2.75
1988,2.25
2020,2.25
2026,2.0
2034,2.33
2046,2.5
2049,2.67
2055,2.25
2076,2.25
2077,2.33
2080,2.67
2096,2.75
2105,2.33
2111,2.25
2116,2.33
2119,2.33
2124,2.33
2131,2.5
2144,2.25
2147,2.5
2161,2.33
2171,2.25
2174,2.5
2185,2.75
2191,2.33
2198,2.5
2200,2.25
2207,2.67
2208,2.67
2212,2.0
2213,2.33
2223,2.25
2229,2.67
2230,2.5
2234,2.33
2235,2.33
2236,2.25
2240,2.25
2254,2.5
2264,2.33
2266,2.67
2278,2.25
2287,2.5
2294,2.5
2308,2.67
2313,2.5
2319,2.5
2329,2.5
2335,2.5
2336,2.5
2337,2.33
2338,2.25
2349,2.25
2362,2.33
2364,2.25
2367,2.33
2371,2.5
2384,2.25
2387,2.5
2390,2.33
2395,2.75
2396,2.67
2397,2.25
2419,2.67
2430,2.67
2438,2.5
2441,2.33
2460,2.33
2472,2.33
2481,2.33
2487,2.5
2491,2.67
2501,2.67
2503,2.5
2506,2.25
2510,2.25
2518,2.33
2521,2.25
2537,2.5
2546,2.25
2549,2.33
2552,2.67
2554,2.5
2557,2.33
2560,2.5
2561,2.25
2563,2.33
2568,2.25
2572,2.25
2573,2.5
2593,2.5
2597,2.75
2603,2.75
2611,2.5
2614,2.33
2623,2.33
2640,2.0
2647,2.5
2652,2.5
2661,2.5
2676,2.33
2694,2.33
2699,2.5
2703,2.5
2707,2.67
2719,2.67
2720,2.5
2757,2.25
2765,2.67
2766,2.33
2770,2.33
2780,2.0
2781,2.33
2801,2.67
2805,2.25
2810,2.75
2811,2.75
2815,2.33
2822,2.5
2827,2.5
2851,2.33
2854,2.33
2856,2.5
2857,2.67
2873,2.33
2886,2.0
2900,2.0
2903,2.25
2907,2.5
2911,2.5
2916,2.5
2929,2.5
2951,2.25
2959,2.33
2960,2.33
2963,2.25
2978,2.5
2979,2.5
2983,3.0
2992,2.5
2995,2.25
2996,2.67
2998,2.5
3001,2.5
3005,2.5
3007,2.5
3009,2.5
3018,2.5
3035,2.33
3040,2.5
3045,2.33
3047,2.67
3049,2.75
3059,2.33
3060,2.5
3061,2.25
3063,2.67
3064,2.5
3068,2.5
3094,2.5
3097,2.33
3148,2.33
3149,2.0
3153,2.5
3173,1.75
3177,1.75
3178,2.5
3184,2.33
3188,2.67
3195,2.5
3197,2.5
3198,2.67
3203,2.5
3205,2.67
3217,2.67
3230,2.25
3233,2.25
3234,1.75
3244,2.5
3248,2.33
3257,2.5
3259,2.75
3279,2.67
3297,2.33
3307,2.5
3321,2.67
3326,2.33
3364,1.67
3365,2.67
3370,2.5
3376,2.33
3378,2.25
3379,2.33
3401,2.5
3409,2.5
3427,2.67
3433,2.5
3435,2.33
3439,2.5
3441,2.25
3445,2.33
3454,2.25
3455,2.5
3461,2.25
3462,2.5
3464,1.67
3467,2.33
3493,2.5
3514,2.5
3518,2.67
3534,2.5
3537,2.67
3545,2.33
3547,2.33
3559,2.25
3562,2.33
3563,2.67
3571,2.67
3577,2.33
3582,2.33
3607,2.67
3609,2.33
3621,2.5
3628,2.5
3634,2.0
3642,2.75
3644,2.67
3652,2.5
3654,2.33
3659,2.67
3681,2.5
3697,2.67
3713,2.25
3717,2.5
3722,2.5
3730,2.67
3732,2.25
3740,2.33
3741,2.25
3753,2.25
3759,2.5
3768,2.25
3774,2.67
3776,2.5
3779,2.67
3785,2.5
3799,2.5
3804,2.67
3808,2.25
3815,2.67
3817,1.75
3820,2.0
3829,2.25
3853,2.67
3860,2.33
3867,2.5
3872,2.0
3874,2.33
3888,2.33
3902,2.67
3910,2.25
3927,2.5
3936,2.25
3949,2.5
3954,2.67
3964,2.33
3967,2.5
3978,2.5
4008,2.33
4009,2.25
4021,2.5
4024,2.25
4027,2.5
4029,2.5
4037,2.67
4039,2.67
4040,2.33
4045,2.0
4050,2.25
4067,2.33
4068,2.67
4073,2.25
4088,2.25
4091,2.33
4094,2.33
4117,2.33
4118,2.33
4140,2.67
4144,2.25
4158,2.33
4170,2.5
4171,2.33
4196,2.25
4200,2.5
4234,2.33
4250,2.67
4258,2.67
4259,1.67
4269,2.33
4274,2.5
4304,2.0
4305,2.33
4313,2.75
4316,2.67
4329,2.5
4335,2.25
4347,2.33
4349,2.67
4357,2.67
4363,2.75
4368,2.5
4370,2.67
4392,2.5
4395,2.67
4404,2.25
4407,2.67
4418,2.5
4429,2.67
4437,2.25
4440,2.33
4454,2.5
4458,2.5
4463,2.5
4464,2.25
4474,2.5
4478,2.33
4479,2.67
4483,2.75
4484,2.5
4486,2.5
4488,2.5
4489,2.67
4509,2.0
4512,2.0
4516,2.25
4520,2.25
4535,2.5
4541,2.5
4546,2.67
4568,2.25
4572,2.33
4585,1.75
4586,2.67
