id,pred_relevance
2,2.33
3,2.25
9,2.5
16,2.25
17,2.5
18,2.5
20,2.67
21,2.67
23,2.67
27,2.67
34,2.5
35,2.67
37,2.5
38,2.5
48,2.33
51,2.5
65,2.67
69,2.25
75,2.0
81,2.0
85,2.25
88,2.0
90,2.5
92,2.25
101,2.33
105,2.5
106,2.67
113,2.25
114,2.0
117,2.33
120,2.67
122,2.25
123,1.75
125,2.25
127,2.25
136,2.25
138,2.25
143,2.25
147,2.25
149,2.25
150,2.33
157,2.25
158,2.33
162,2.25
164,2.33
165,2.75
166,2.33
172,2.5
177,2.67
178,2.25
179,2.5
181,2.25
182,2.33
186,2.5
191,2.5
193,2.5
195,2.0
201,2.33
202,2.67
203,2.5
205,2.5
210,2.5
214,2.25
215,2.67
223,2.25
226,2.25
227,2.25
233,2.5
241,2.75
245,2.67
255,2.67
257,2.25
259,2.25
261,2.25
266,2.33
270,2.25
272,2.5
275,2.67
276,2.67
284,2.5
290,2.5
293,2.67
294,2.5
297,2.33
305,2.5
314,2.5
318,2.67
319,2.5
323,2.5
327,2.5
331,2.25
334,2.67
335,2.67
340,2.0
341,2.67
343,2.5
346,2.5
347,2.5
350,2.5
351,2.67
354,2.0
355,2.5
359,2.33
361,2.25
363,2.5
365,2.5
373,2.5
374,2.5
375,2.25
385,2.25
389,2.5
397,2.0
400,2.25
401,2.5
402,2.33
403,2.33
407,2.33
408,2.33
411,2.33
413,2.25
418,2.5
421,2.5
422,2.5
440,2.67
444,2.5
445,2.67
446,2.5
447,2.67
452,2.5
454,2.67
455,2.5
456,2.5
458,2.5
459,2.33
461,2.67
468,2.5
469,2.5
470,2.33
473,2.33
475,2.33
476,2.33
478,2.67
479,2.33
480,2.67
481,2.67
485,2.25
491,2.67
492,2.25
497,2.33
500,2.5
501,2.25
508,2.25
511,2.33
516,2.67
517,2.25
524,2.25
533,2.67
536,2.25
542,2.0
544,2.33
549,2.33
551,2.33
557,2.25
559,2.25
562,2.33
563,2.5
568,2.25
571,2.33
572,2.5
573,2.5
576,2.67
581,2.67
582,2.5
583,2.5
584,2.67
585,2.5
591,2.33
593,2.5
595,2.33
600,2.67
605,2.25
606,2.33
611,2.25
619,2.33
626,2.0
630,2.67
634,2.25
635,2.67
636,2.5
637,2.33
640,2.25
642,2.67
643,2.5
644,2.5
646,2.33
652,2.5
653,2.25
659,2.0
660,2.5
661,2.5
662,2.5
663,2.67
666,2.75
668,2.67
669,2.5
670,2.5
671,2.5
674,2.5
677,2.25
679,2.75
680,2.5
682,2.33
686,2.5
687,2.67
688,2.33
690,2.5
691,2.67
696,2.25
700,2.5
712,2.67
713,2.67
715,2.67
718,2.5
722,2.33
726,2.5
731,2.67
734,1.75
737,2.5
739,2.33
740,2.0
742,2.33
743,2.67
745,2.5
748,2.33
749,2.25
751,2.33
753,2.0
756,2.5
758,2.5
759,2.25
760,2.25
763,2.67
764,2.0
765,2.25
771,2.25
773,1.75
778,2.25
784,2.5
787,2.33
790,2.67
791,2.33
800,2.67
801,2.0
811,2.25
812,2.0
817,2.33
818,2.67
819,2.5
824,2.5
826,2.5
828,2.67
831,2.75
832,2.67
837,2.67
843,2.67
844,2.67
847,2.25
852,2.0
857,2.67
862,2.67
867,2.0
868,2.33
869,2.25
872,1.75
876,2.67
878,2.33
881,2.33
882,2.5
885,2.5
886,1.75
893,2.5
894,2.5
895,2.5
898,2.5
899,2.67
902,2.33
908,2.67
909,2.5
910,2.67
912,1.75
918,2.33
922,2.33
923,2.67
928,2.0
929,2.25
934,2.33
940,2.67
944,2.0
954,2.5
958,2.75
962,2.33
963,2.33
969,2.75
974,2.25
978,2.33
984,2.5
991,2.67
1000,2.33
1001,2.25
1004,2.67
1007,2.67
1008,2.5
1019,2.33
1020,2.67
1022,2.5
1026,2.33
1028,2.33
1031,2.25
1038,2.67
1040,2.0
1051,2.67
1053,2.75
1056,1.67
1060,2.5
1062,2.67
1065,2.5
1068,2.33
1072,2.33
1073,2.33
1074,2.67
1076,2.5
1080,2.0
1081,2.33
1083,2.33
1084,2.25
1086,2.0
1090,2.33
1095,1.75
1097,2.25
1098,2.25
1101,2.25
1103,2.33
1104,2.25
1107,2.33
1108,2.0
1116,2.67
1121,2.5
1128,2.33
1129,2.33
1132,2.0
1134,2.5
1135,2.33
1138,2.5
1142,2.67
1145,2.33
1146,2.67
1148,2.33
1151,2.75
1155,2.33
1159,2.25
1164,2.25
1165,2.0
1168,2.33
1171,2.25
1172,2.5
1176,2.25
1177,2.25
1180,2.25
1185,2.5
1191,2.67
1192,2.67
1195,2.5
1196,2.67
1205,2.25
1206,2.25
1208,2.33
1212,2.33
1215,2.25
1216,2.33
1218,2.5
1220,2.0
1224,2.67
1227,2.25
1228,2.33
1230,2.5
1231,2.67
1237,2.67
1238,2.67
1243,2.75
1248,2.33
1252,2.67
1253,2.33
1257,2.33
1266,2.5
1267,2.5
1273,2.33
1275,2.5
1276,2.67
1279,2.25
1287,2.67
1289,2.5
1291,2.0
1296,2.5
1300,1.75
1302,2.33
1303,2.67
1316,2.0
1317,2.33
1320,2.67
1323,2.0
1326,2.5
1335,2.33
1338,2.5
1340,2.33
1344,2.25
1345,2.33
1347,2.5
1348,2.5
1349,2.33
1355,2.33
1356,2.5
1357,2.5
1359,2.5
1364,2.5
1366,2.33
1377,2.25
1387,2.33
1388,2.33
1394,2.33
1395,2.5
1397,2.33
1399,2.5
1401,2.67
1403,2.25
1405,2.67
1408,1.75
1414,2.5
1419,2.67
1422,2.25
1427,2.67
1431,2.33
1433,2.25
1434,2.33
1436,2.0
1439,2.67
1443,2.75
1444,2.0
1449,2.5
1453,2.25
1454,2.33
1458,2.25
1468,2.5
1471,2.33
1472,2.33
1473,2.25
1479,2.25
1481,2.67
1483,2.67
1486,2.25
1487,2.67
1490,2.5
1491,2.5
1492,2.33
1496,2.5
1497,2.33
1501,2.25
1504,2.5
1506,2.33
1509,2.25
1512,2.33
1528,2.5
1538,2.75
1542,2.25
1546,2.67
1548,2.33
1554,2.25
1560,2.5
1561,2.33
1562,2.25
1568,2.5
1569,2.67
1571,2.25
1572,2.5
1576,2.67
1577,2.75
1578,2.5
1587,2.5
1588,2.5
1593,2.5
1595,2.67
1609,2.0
1610,2.33
1612,1.75
1616,2.25
1617,2.25
1622,2.67
1624,2.25
1627,2.5
1633,2.25
1634,2.33
1637,2.67
1640,2.33
1643,2.5
1645,2.5
1647,2.25
1648,2.25
1653,2.0
1654,2.0
1655,2.67
1656,2.0
1657,2.5
1661,2.67
1664,2.25
1667,2.0
1669,2.67
1670,2.5
1671,2.33
1672,2.5
1673,2.33
1675,2.5
1677,2.5
1681,1.67
1691,2.33
1692,2.67
1696,2.33
1702,2.5
1703,2.25
1704,2.67
1705,2.5
1713,2.5
1715,2.67
1721,2.67
1722,2.33
1724,2.33
1726,2.5
1731,2.33
1733,2.5
1738,2.67
1740,2.0
1741,2.67
1742,2.5
1746,2.5
1749,2.33
1753,2.25
1762,2.67
1765,2.33
1771,2.33
1774,2.67
1777,2.25
1779,2.33
1780,2.5
1782,2.0
1784,2.67
1785,2.25
1786,2.33
1790,2.67
1797,2.67
1804,2.5
1805,2.67
1811,2.33
1815,2.33
1816,2.25
1818,2.33
1821,2.5
1824,2.67
1829,2.25
1830,2.5
1835,2.67
1841,2.25
1844,2.67
1845,2.0
1846,2.33
1847,2.33
1848,2.33
1851,2.25
1852,2.67
1853,2.5
1855,2.33
1858,2.5
1861,2.5
1862,2.25
1867,2.67
1868,2.33
1870,2.5
1872,2.5
1875,2.33
1881,2.25
1883,2.0
1894,2.67
1896,2.67
1899,2.33
1907,2.5
1914,2.0
1915,2.67
1918,2.25
1920,2.33
1921,2.5
1922,2.33
1923,2.33
1924,2.25
1927,2.33
1931,2.5
1933,2.5
1939,2.67
1941,2.25
1943,2.25
1956,2.67
1959,2.67
1961,2.5
1963,2.25
1964,2.25
1966,2.0
1967,2.33
1970,2.0
1977,2.33
1979,2.25
1982,2.33
